Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1779576603.784552,8410,0,1
1,NewOrder,1779576603.792998,2526,0,1
1,NewOrder,1779576603.795554,6231,0,1
1,NewOrder,1779576603.801815,3421,0,1
1,NewOrder,1779576603.805274,2046,0,1
1,NewOrder,1779576603.807350,2295,0,1
1,NewOrder,1779576603.809678,1897,0,1
3,OrderStatus,1779576603.811606,9523,0,1
1,NewOrder,1779576603.821189,2340,0,1
1,NewOrder,1779576603.823564,2365,0,1
1,NewOrder,1779576603.825959,2116,0,1
2,Payment,1779576603.828105,1574,0,1
1,NewOrder,1779576603.829706,2000,0,1
1,NewOrder,1779576603.831734,1915,0,1
1,NewOrder,1779576603.833690,3377,0,1
2,Payment,1779576603.837125,1628,0,1
2,Payment,1779576603.838781,5631,0,1
2,Payment,1779576603.844456,1365,0,1
1,NewOrder,1779576603.845863,2013,0,1
2,Payment,1779576603.847904,1409,0,1
4,Delivery,1779576603.849340,2028,0,1
1,NewOrder,1779576603.851396,1853,0,1
1,NewOrder,1779576603.853280,2776,0,1
1,NewOrder,1779576603.856085,6236,0,1
2,Payment,1779576603.862353,1516,0,1
2,Payment,1779576603.863897,1403,0,1
1,NewOrder,1779576603.865358,1958,0,1
1,NewOrder,1779576603.867342,1787,0,1
1,NewOrder,1779576603.869158,1908,0,1
1,NewOrder,1779576603.871091,5971,0,1
1,NewOrder,1779576603.877228,11905,0,1
1,NewOrder,1779576603.889286,2778,0,1
2,Payment,1779576603.892093,1570,0,1
2,Payment,1779576603.893714,1546,0,1
1,NewOrder,1779576603.895301,1875,0,1
1,NewOrder,1779576603.897226,1918,0,1
1,NewOrder,1779576603.899272,2626,0,1
3,OrderStatus,1779576603.901932,2113,0,1
1,NewOrder,1779576603.904162,2200,0,1
2,Payment,1779576603.906403,3286,0,1
1,NewOrder,1779576603.909802,2294,0,1
1,NewOrder,1779576603.912121,2163,0,1
2,Payment,1779576603.914341,1996,0,1
1,NewOrder,1779576603.916369,2078,0,1
1,NewOrder,1779576603.918473,3275,0,1
5,StockLevel,1779576603.921901,2511,0,1
1,NewOrder,1779576603.924441,2402,0,1
2,Payment,1779576603.926869,2864,0,1
1,NewOrder,1779576603.929769,3916,0,1
2,Payment,1779576603.933752,4008,0,1
2,Payment,1779576603.937799,2951,0,1
1,NewOrder,1779576603.940835,3603,0,1
1,NewOrder,1779576603.944476,2546,0,1
1,NewOrder,1779576603.947071,2278,0,1
2,Payment,1779576603.949376,1591,0,1
1,NewOrder,1779576603.950991,2459,0,1
2,Payment,1779576603.953539,2461,0,1
5,StockLevel,1779576603.956174,3808,0,1
1,NewOrder,1779576603.960064,2953,0,1
2,Payment,1779576603.963061,2084,0,1
2,Payment,1779576603.965177,1600,0,1
1,NewOrder,1779576603.966803,2188,0,1
1,NewOrder,1779576603.969017,2532,0,1
1,NewOrder,1779576603.971598,2188,0,1
2,Payment,1779576603.973830,1482,0,1
2,Payment,1779576603.975337,1358,0,1
1,NewOrder,1779576603.976737,1966,0,1
2,Payment,1779576603.978751,1597,0,1
1,NewOrder,1779576603.980377,1957,0,1
1,NewOrder,1779576603.982361,1930,0,1
2,Payment,1779576603.984353,1396,0,1
2,Payment,1779576603.985774,1558,0,1
2,Payment,1779576603.987361,1518,0,1
2,Payment,1779576603.988908,1439,0,1
1,NewOrder,1779576603.990372,1902,0,1
2,Payment,1779576603.992302,1397,0,1
2,Payment,1779576603.993739,1437,0,1
1,NewOrder,1779576603.995204,1905,0,1
1,NewOrder,1779576603.997160,1985,0,1
1,NewOrder,1779576603.999171,2363,0,1
1,NewOrder,1779576604.001575,1865,0,1
1,NewOrder,1779576604.003467,1915,0,1
2,Payment,1779576604.005406,1477,0,1
5,StockLevel,1779576604.006908,1759,0,1
2,Payment,1779576604.008695,1443,0,1
1,NewOrder,1779576604.010166,1968,0,1
5,StockLevel,1779576604.012160,1819,0,1
1,NewOrder,1779576604.014004,1792,0,1
2,Payment,1779576604.015848,1398,0,1
4,Delivery,1779576604.017271,2018,0,1
1,NewOrder,1779576604.019313,1791,0,1
1,NewOrder,1779576604.021179,1655,0,1
2,Payment,1779576604.022867,1534,0,1
2,Payment,1779576604.024464,1398,0,1
1,NewOrder,1779576604.025904,1967,0,1
1,NewOrder,1779576604.027898,1890,0,1
1,NewOrder,1779576604.029812,1827,0,1
1,NewOrder,1779576604.031662,2277,0,1
2,Payment,1779576604.033984,1590,0,1
2,Payment,1779576604.035628,1690,0,1
2,Payment,1779576604.037384,1521,0,1
2,Payment,1779576604.038947,1625,0,1
1,NewOrder,1779576604.040627,2253,0,1
2,Payment,1779576604.042941,1910,0,1
1,NewOrder,1779576604.044881,2316,0,1
